ID,CASE_NUMBER,BLOCK,IUCR_CODE,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESC,ARREST,DOMESTIC,BEAT_NUM,DISTRICT_CODE,WARD_NO,COMMUNITY_CODE,FBI_CODE,X_COORDINATE,Y_COORDINATE,INCIDENT_YEAR,DATE_OF_UPDATE,LATITUDE,LONGITUDE,LOCATION,INCIDENT_DAYOFWEEK,INCIDENT_DATE,INCIDENT_TIME,INCIDENT_MONTH
10000336,QK256017,55XX E CHICAGO AVE,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESTAURANT,True,False,321,22,30.0,77.0,08B,1150706.0,1865411.0,2021,2021-01-13 15:06:00,41.95500296,-87.69651277,"(41.95500296, -87.69651277)",MONDAY,2021-01-11,15:06:00,1
10000337,CZ184437,61XX N MADISON ST,910,VANDALISM,CRIMINAL DAMAGE,PARK PROPERTY,True,False,511,22,43.0,61.0,05,1190167.0,1861719.0,2021,2021-11-06 11:51:00,41.98672617,-87.77259852,"(41.98672617, -87.77259852)",WEDNESDAY,2021-10-13,11:51:00,10
10000338,WU346891,23XX N CHICAGO AVE,730,THEFT,SHOPLIFTING,APARTMENT,False,False,1121,9,46.0,19.0,10,1177895.0,1884833.0,2017,2017-06-22 22:40:00,41.92668952,-87.59438972,"(41.92668952, -87.59438972)",FRIDAY,2017-05-26,22:40:00,5
10000339,MM878008,92XX W GRAND AVE,460,BATTERY,SIMPLE,ALLEY,False,False,1411,2,42.0,36.0,01A,1152861.0,1895774.0,2020,2020-08-30 22:38:00,41.90127935,-87.71774785,"(41.90127935, -87.71774785)",FRIDAY,2020-08-21,22:38:00,8
10000340,KR017121,67XX N NORTH AVE,610,BURGLARY,FORCIBLE ENTRY,ALLEY,False,False,812,7,42.0,3.0,10,1195286.0,1896947.0,2016,2016-03-03 21:17:00,41.78494409,-87.58720731,"(41.78494409, -87.58720731)",THURSDAY,2016-02-04,21:17:00,2
10000341,FJ072869,3XX S MICHIGAN AVE,730,THEFT,SHOPLIFTING,PARKING LOT / GARAGE(NON.RESID.),False,True,2011,20,45.0,12.0,19,1154320.0,1875400.0,2021,2021-04-30 13:21:00,41.96540333,-87.74524971,"(41.96540333, -87.74524971)",THURSDAY,2021-04-15,13:21:00,4
10000342,EO946623,22XX N NORTH AVE,560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,True,False,612,9,45.0,57.0,20,1176152.0,1916360.0,2018,2018-02-01 21:11:00,41.79908396,-87.56828884,"(41.79908396, -87.56828884)",MONDAY,2018-01-22,21:11:00,1
10000343,MI913157,2XX S DIVISION ST,730,THEFT,SHOPLIFTING,OTHER,False,False,2211,17,9.0,60.0,10,1166118.0,1858369.0,2016,2016-04-23 16:40:00,41.88749144,-87.52961753,"(41.88749144, -87.52961753)",SUNDAY,2016-04-17,16:40:00,4
10000344,DI993784,77XX S ASHLAND AVE,740,THEFT,THEFT OVER $500,APARTMENT,False,False,212,2,15.0,65.0,08B,1151427.0,1890976.0,2018,2018-10-25 15:25:00,41.97619458,-87.67977496,"(41.97619458, -87.67977496)",MONDAY,2018-10-15,15:25:00,10
10000345,KI933268,91XX S WESTERN AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,False,False,321,12,1.0,62.0,13,1195641.0,1903474.0,2023,2023-03-04 11:43:00,41.89603593,-87.59036608,"(41.89603593, -87.59036608)",TUESDAY,2023-02-14,11:43:00,2
10000346,DI642913,50XX S DIVISION ST,312,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1022,1,40.0,77.0,09,1160561.0,1884832.0,2019,2019-03-19 13:32:00,41.73142397,-87.74360884,,WEDNESDAY,2019-02-20,13:32:00,2
10000347,US891147,15XX W CHICAGO AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,RESIDENCE,False,True,1511,25,30.0,2.0,19,1152725.0,1883998.0,2018,2018-08-12 08:32:00,41.89105848,-87.67326288,"(41.89105848, -87.67326288)",MONDAY,2018-07-30,08:32:00,7
10000348,HK420175,70XX E COTTAGE GROVE AVE,740,THEFT,THEFT OVER $500,ALLEY,False,False,1221,2,8.0,63.0,01A,1166873.0,1873691.0,2020,2020-02-17 14:29:00,41.89591629,-87.72430196,"(41.89591629, -87.72430196)",FRIDAY,2020-02-07,14:29:00,2
10000349,YT409268,66XX N MADISON ST,312,ROBBERY,ARMED: HANDGUN,CTA TRAIN,True,False,113,18,37.0,59.0,11,1181890.0,1920562.0,2022,2022-10-20 17:58:00,41.73402513,-87.506947,"(41.73402513, -87.506947)",FRIDAY,2022-09-23,17:58:00,9
10000350,KA412593,37XX E MICHIGAN AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,621,17,14.0,56.0,20,1180231.0,1922779.0,2022,2022-11-02 20:23:00,41.77305614,-87.59856811,"(41.77305614, -87.59856811)",FRIDAY,2022-10-14,20:23:00,10
10000351,KR504907,87XX W CLARK ST,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RETAIL STORE,False,False,812,19,1.0,44.0,05,1174948.0,1890235.0,2021,2021-09-20 12:24:00,41.73553359,-87.5436932,"(41.73553359, -87.5436932)",SATURDAY,2021-09-04,12:24:00,9
10000352,WT995329,15XX E COTTAGE GROVE AVE,320,ROBBERY,STRONGARM - NO WEAPON,GROCERY FOOD STORE,False,False,611,10,36.0,63.0,06,1156174.0,1881659.0,2019,2019-11-04 14:48:00,41.80352865,-87.51535427,"(41.80352865, -87.51535427)",SUNDAY,2019-11-03,14:48:00,11
10000353,PK410265,88XX N NORTH AVE,560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,321,16,19.0,58.0,05,1166702.0,1887121.0,2017,2017-08-05 21:31:00,41.77652234,-87.64020029,"(41.77652234, -87.64020029)",TUESDAY,2017-07-11,21:31:00,7
10000354,HX242697,26XX E ASHLAND AVE,460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1611,24,25.0,71.0,26,1193732.0,1864016.0,2019,2019-03-26 02:38:00,41.73841378,-87.6892807,"(41.73841378, -87.6892807)",MONDAY,2019-02-25,02:38:00,2
10000355,MS238737,83XX N GRAND AVE,312,ROBBERY,ARMED: HANDGUN,CTA BUS,False,True,1411,25,27.0,67.0,18,1185798.0,1859678.0,2015,2015-11-05 00:02:00,41.81512688,-87.72199123,"(41.81512688, -87.72199123)",WEDNESDAY,2015-10-14,00:02:00,10
10000356,HL765571,97XX E MADISON ST,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",True,True,511,5,16.0,62.0,07,1172912.0,1906726.0,2016,2016-12-04 13:42:00,41.78900771,-87.59188518,"(41.78900771, -87.59188518)",WEDNESDAY,2016-11-23,13:42:00,11
10000357,QE318338,93XX W FULLERTON AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,False,1011,5,10.0,38.0,10,1157418.0,1850965.0,2022,2023-01-04 14:18:00,41.94527575,-87.62503089,"(41.94527575, -87.62503089)",FRIDAY,2022-12-30,14:18:00,12
10000358,RK030557,30XX S CHICAGO AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,STREET,False,False,911,4,42.0,26.0,15,1187312.0,1915511.0,2017,2017-05-15 10:17:00,41.88159097,-87.79633976,"(41.88159097, -87.79633976)",TUESDAY,2017-04-25,10:17:00,4
10000359,GT408070,8XX S CICERO AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,CTA BUS,False,False,1911,2,39.0,35.0,08B,1195307.0,1860603.0,2017,2017-07-30 18:29:00,41.91000118,-87.52475995,"(41.91000118, -87.52475995)",MONDAY,2017-07-24,18:29:00,7
10000360,YH822534,65XX W BROADWAY,740,THEFT,THEFT OVER $500,ALLEY,False,False,2511,24,13.0,76.0,09,1163537.0,1900490.0,2016,2016-04-26 19:28:00,41.76552433,-87.67784934,"(41.76552433, -87.67784934)",FRIDAY,2016-04-01,19:28:00,4
10000361,OE177861,14XX E PULASKI RD,312,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,True,True,411,11,41.0,69.0,14,1165269.0,1911313.0,2018,2018-06-16 07:55:00,41.75954084,-87.7078399,"(41.75954084, -87.7078399)",FRIDAY,2018-06-01,07:55:00,6
10000362,TA727233,46XX S GRAND AVE,730,THEFT,SHOPLIFTING,GAS STATION,False,False,1211,12,48.0,41.0,12,1196999.0,1854424.0,2018,2018-06-08 13:19:00,41.91880857,-87.79829824,"(41.91880857, -87.79829824)",MONDAY,2018-05-28,13:19:00,5
10000363,NL248097,8XX E CLARK ST,620,BURGLARY,UNLAWFUL ENTRY,PARKING LOT / GARAGE(NON.RESID.),False,False,1011,20,31.0,6.0,04A,1180335.0,1880001.0,2016,2016-11-12 12:30:00,41.8361124,-87.71595722,"(41.8361124, -87.71595722)",WEDNESDAY,2016-10-19,12:30:00,10
10000364,FZ269164,59XX E MADISON ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,STREET,False,False,811,1,9.0,9.0,07,1160740.0,1875701.0,2021,2021-04-22 16:18:00,41.9218109,-87.57581804,"(41.9218109, -87.57581804)",TUESDAY,2021-03-30,16:18:00,3
10000365,TT424876,74XX W PULASKI RD,740,THEFT,THEFT OVER $500,COMMERCIAL / BUSINESS OFFICE,False,False,122,10,37.0,43.0,03,1176588.0,1913887.0,2023,2023-12-30 12:34:00,41.98226826,-87.651374465,"(41.98226826, -87.56582354)",THURSDAY,2023-12-14,12:34:00,12
10000366,ED315901,99XX E ASHLAND AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,RESIDENCE,True,False,1121,1,15.0,42.0,06,1176618.0,1902289.0,2015,2015-01-28 17:24:00,41.86531294,-87.56966635,"(41.86531294, -87.56966635)",TUESDAY,2015-01-27,17:24:00,1
10000367,CE971714,99XX W WESTERN AVE,850,DECEPTIVE PRACTICE,FRAUD,GAS STATION,False,False,112,16,8.0,49.0,06,1172340.0,1881934.0,2017,2017-06-13 19:01:00,41.91197383,-87.68587503,"(41.91197383, -87.68587503)",THURSDAY,2017-06-08,19:01:00,6
10000368,AZ780810,84XX W FULLERTON AVE,560,ASSAULT,SIMPLE,PARKING LOT / GARAGE(NON.RESID.),False,False,912,14,7.0,46.0,03,1165034.0,1929976.0,2015,2015-03-22 00:51:00,41.82024467,-87.54565755,"(41.82024467, -87.54565755)",SUNDAY,2015-03-08,00:51:00,3
10000369,UI808903,34XX E MICHIGAN AVE,460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,411,6,34.0,20.0,10,1160203.0,1882292.0,2019,2019-09-02 20:26:00,41.92596703,-87.79100596,"(41.92596703, -87.79100596)",TUESDAY,2019-08-27,20:26:00,8
10000370,MV515816,47XX N FULLERTON AVE,460,BATTERY,SIMPLE,PARK PROPERTY,False,True,2411,19,29.0,18.0,16,1162843.0,1875830.0,2020,2020-04-15 23:54:00,41.83287304,-87.5301353,"(41.83287304, -87.5301353)",TUESDAY,2020-03-17,23:54:00,3
10000371,ZA682304,81XX N PULASKI RD,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,VEHICLE NON-COMMERCIAL,True,True,811,20,18.0,17.0,11,1196731.0,1852738.0,2020,2020-03-24 18:33:00,41.88836055,-87.62618943,"(41.88836055, -87.62618943)",SATURDAY,2020-03-07,18:33:00,3
10000372,UL050981,98XX E HALSTED ST,460,BATTERY,SIMPLE,PARKING LOT / GARAGE(NON.RESID.),True,False,411,18,22.0,44.0,09,1183162.0,1903441.0,2016,2016-05-22 19:41:00,41.83620654,-87.63532976,"(41.83620654, -87.63532976)",WEDNESDAY,2016-04-27,19:41:00,4
10000373,SZ116682,69XX E CICERO AVE,320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT / GARAGE(NON.RESID.),True,False,112,7,10.0,29.0,02,1178144.0,1892444.0,2019,2019-07-04 20:56:00,41.84767241,-87.56601869,"(41.84767241, -87.56601869)",MONDAY,2019-06-17,20:56:00,6
10000374,TD419993,77XX N STATE ST,460,BATTERY,SIMPLE,CTA TRAIN,False,False,311,17,30.0,42.0,18,1183406.0,1866700.0,2019,2019-06-14 21:26:00,41.71246115,-87.58749768,"(41.71246115, -87.58749768)",THURSDAY,2019-05-16,21:26:00,5
10000375,RH174099,77XX W CICERO AVE,750,THEFT,THEFT $500 AND UNDER,RESTAURANT,False,False,312,5,14.0,57.0,19,1165558.0,1858208.0,2016,2016-06-11 19:37:00,41.69323071,-87.7648124,"(41.69323071, -87.7648124)",FRIDAY,2016-05-20,19:37:00,5
10000376,BC787963,90XX W DIVISION ST,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,True,False,212,10,15.0,67.0,14,1162064.0,1917997.0,2022,2023-01-02 18:50:00,41.97792033,-87.54047448,"(41.97792033, -87.54047448)",SATURDAY,2022-12-17,18:50:00,12
10000377,ZG576870,13XX N WESTERN AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,CTA BUS,False,True,1011,17,36.0,73.0,19,1152105.0,1858623.0,2022,2022-07-16 11:49:00,41.95111804,-87.59973289,"(41.95111804, -87.59973289)",SUNDAY,2022-06-19,11:49:00,6
10000378,HU366715,45XX E CICERO AVE,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,True,False,212,6,2.0,43.0,20,1194547.0,1878687.0,2022,2022-07-22 21:13:00,41.69851237,-87.66301305,"(41.69851237, -87.66301305)",SUNDAY,2022-07-03,21:13:00,7
10000379,UX793159,63XX E MADISON ST,750,THEFT,THEFT $500 AND UNDER,HOSPITAL BUILDING/GROUNDS,False,False,211,11,20.0,13.0,26,1169134.0,1871174.0,2021,2021-01-21 19:53:00,41.83915781,-87.74414236,"(41.83915781, -87.74414236)",WEDNESDAY,2021-01-13,19:53:00,1
10000380,ZL056248,73XX N MADISON ST,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,1022,11,35.0,46.0,18,1193823.0,1913878.0,2022,2022-06-14 14:16:00,41.94350285,-87.57911529,"(41.94350285, -87.57911529)",THURSDAY,2022-06-09,14:16:00,6
10000381,LJ925063,91XX E CLARK ST,910,VANDALISM,CRIMINAL DAMAGE,"SCHOOL, PUBLIC, BUILDING",True,False,1111,19,37.0,25.0,08A,1195117.0,1880968.0,2020,2020-06-20 20:26:00,41.80988505,-87.62736294,"(41.80988505, -87.62736294)",TUESDAY,2020-06-02,20:26:00,6
10000382,XM703922,3XX W STATE ST,312,ROBBERY,ARMED: HANDGUN,APARTMENT,False,False,521,12,46.0,71.0,05,1174856.0,1884894.0,2016,2016-03-13 20:38:00,41.70596044,-87.61435822,"(41.70596044, -87.61435822)",SATURDAY,2016-03-05,20:38:00,3
10000383,UB041197,97XX E WESTERN AVE,850,DECEPTIVE PRACTICE,FRAUD,ALLEY,True,False,1111,8,37.0,66.0,26,1150338.0,1898767.0,2021,2021-01-25 18:19:00,41.89439652,-87.70566242,"(41.89439652, -87.70566242)",THURSDAY,2021-01-14,18:19:00,1
10000384,ZQ375069,26XX S CHICAGO AVE,910,VANDALISM,CRIMINAL DAMAGE,GROCERY FOOD STORE,True,False,411,17,9.0,56.0,11,1174984.0,1890235.0,2022,2022-09-21 13:26:00,41.90217889,-87.53628064,"(41.90217889, -87.53628064)",THURSDAY,2022-09-08,13:26:00,9
10000385,VL698719,57XX S ASHLAND AVE,1310,NARCOTICS,POSS: COCAINE,SIDEWALK,True,False,411,6,13.0,64.0,05,1157733.0,1879933.0,2021,2021-05-18 16:54:00,41.71908973,-87.59504567,"(41.71908973, -87.59504567)",SATURDAY,2021-05-15,16:54:00,5
10000386,XX897805,6XX E STATE ST,750,THEFT,THEFT $500 AND UNDER,GAS STATION,False,True,221,19,25.0,58.0,11,1198019.0,1889261.0,2018,2018-11-04 22:59:00,41.76386665,-87.75758559,"(41.76386665, -87.75758559)",SATURDAY,2018-10-13,22:59:00,10
10000387,NB935956,99XX E STATE ST,560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,False,False,1121,24,28.0,52.0,14,1174205.0,1881104.0,2016,2016-07-18 15:12:00,41.83737182,-87.70354565,"(41.83737182, -87.70354565)",FRIDAY,2016-07-08,15:12:00,7
10000388,BJ912969,64XX S MICHIGAN AVE,910,VANDALISM,CRIMINAL DAMAGE,ALLEY,False,True,113,6,33.0,48.0,06,1185620.0,1855837.0,2019,2019-12-10 19:33:00,41.97498929,-87.53229318,"(41.97498929, -87.53229318)",TUESDAY,2019-11-12,19:33:00,11
10000389,GA607160,36XX S FULLERTON AVE,1310,NARCOTICS,POSS: COCAINE,ALLEY,False,False,511,25,37.0,40.0,11,1150511.0,1915884.0,2022,2022-07-15 11:59:00,41.96412085,-87.67723898,"(41.96412085, -87.67723898)",FRIDAY,2022-07-01,11:59:00,7
10000390,MC030604,17XX N FULLERTON AVE,800,ARSON,AGGRAVATED,PARKING LOT / GARAGE(NON.RESID.),False,False,212,10,37.0,34.0,06,1154325.0,1917716.0,2022,2022-10-27 14:34:00,41.95567989,-87.73936217,"(41.95567989, -87.73936217)",MONDAY,2022-10-17,14:34:00,10
10000391,RL802551,81XX S MADISON ST,740,THEFT,THEFT OVER $500,STREET,False,False,1221,9,12.0,45.0,05,1164590.0,1890235.0,2015,2015-07-10 17:09:00,41.80739356,-87.75407074,"(41.80739356, -87.75407074)",MONDAY,2015-06-29,17:09:00,6
10000392,QX962647,70XX N MICHIGAN AVE,740,THEFT,THEFT OVER $500,OTHER,False,False,111,8,1.0,49.0,17,1161225.0,1900262.0,2015,2015-06-29 08:06:00,41.92060863,-87.76410737,"(41.92060863, -87.76410737)",SUNDAY,2015-06-07,08:06:00,6
10000393,VJ944743,30XX W ASHLAND AVE,1240,NARCOTICS,POSS: HEROIN(WHITE),GAS STATION,True,True,321,6,25.0,33.0,16,1172996.0,1906854.0,2017,2017-07-29 08:40:00,41.93163514,-87.75680487,"(41.93163514, -87.75680487)",WEDNESDAY,2017-07-05,08:40:00,7
10000394,FO135146,53XX N PULASKI RD,750,THEFT,THEFT $500 AND UNDER,ALLEY,False,False,912,16,36.0,53.0,18,1182611.0,1874025.0,2023,2023-03-19 18:39:00,41.73239945,-87.76740495,"(41.73239945, -87.76740495)",TUESDAY,2023-03-07,18:39:00,3
10000395,XW309379,11XX N MICHIGAN AVE,2830,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,False,False,811,5,49.0,63.0,03,1151765.0,1857765.0,2019,2019-09-09 12:15:00,41.84917643,-87.61157431,"(41.84917643, -87.61157431)",MONDAY,2019-08-12,12:15:00,8
10000396,XC084475,32XX N ASHLAND AVE,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,GROCERY FOOD STORE,False,False,221,5,11.0,54.0,26,1173478.0,1928664.0,2016,2016-03-20 20:10:00,41.73748413,-87.63430364,"(41.73748413, -87.63430364)",SATURDAY,2016-02-20,20:10:00,2
10000397,JZ465932,42XX E HALSTED ST,730,THEFT,SHOPLIFTING,BAR OR TAVERN,False,False,2511,3,12.0,18.0,19,1189548.0,1903512.0,2018,2018-11-04 23:56:00,41.7348458,-87.50213096,"(41.7348458, -87.50213096)",TUESDAY,2018-10-23,23:56:00,10
10000398,KS233594,26XX W NORTH AVE,910,VANDALISM,CRIMINAL DAMAGE,PARKING LOT / GARAGE(NON.RESID.),False,False,812,25,30.0,11.0,11,1186732.0,1851536.0,2019,2019-12-03 12:17:00,41.9834746,-87.6127491,"(41.9834746, -87.6127491)",SATURDAY,2019-11-09,12:17:00,11
10000399,TI905996,10XX N MICHIGAN AVE,910,VANDALISM,CRIMINAL DAMAGE,SIDEWALK,False,True,311,18,8.0,3.0,03,1157700.0,1914116.0,2015,2015-12-25 20:58:00,41.71232439,-87.68798351,"(41.71232439, -87.68798351)",MONDAY,2015-12-14,20:58:00,12
10000400,TP845092,24XX W BROADWAY,460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,211,8,14.0,7.0,26,1185411.0,1889624.0,2016,2016-02-02 00:50:00,41.74779158,-87.55473472,"(41.74779158, -87.55473472)",MONDAY,2016-01-11,00:50:00,1
10000401,BB376807,33XX E COTTAGE GROVE AVE,850,DECEPTIVE PRACTICE,FRAUD,APARTMENT,False,False,1611,10,39.0,53.0,20,1162038.0,1850558.0,2016,2016-11-15 14:53:00,41.76528494,-87.69657229,"(41.76528494, -87.69657229)",THURSDAY,2016-10-27,14:53:00,10
10000402,MM989484,6XX E DIVISION ST,610,BURGLARY,FORCIBLE ENTRY,PARK PROPERTY,False,False,1411,11,29.0,46.0,05,1187248.0,1868248.0,2015,2015-10-24 17:46:00,41.83672624,-87.63622493,"(41.83672624, -87.63622493)",SUNDAY,2015-09-27,17:46:00,9
10000403,EP448463,39XX E CICERO AVE,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,True,True,411,6,10.0,76.0,05,1159887.0,1889785.0,2015,2015-03-21 14:52:00,41.83168647,-87.71873298,"(41.83168647, -87.71873298)",FRIDAY,2015-02-27,14:52:00,2
10000404,AJ296996,73XX W HALSTED ST,750,THEFT,THEFT $500 AND UNDER,CONVENIENCE STORE,True,False,2511,10,44.0,55.0,10,1190356.0,1919127.0,2018,2018-07-06 18:21:00,41.77456914,-87.58257297,"(41.77456914, -87.58257297)",FRIDAY,2018-06-15,18:21:00,6
10000405,MX970317,42XX N FULLERTON AVE,850,DECEPTIVE PRACTICE,FRAUD,GROCERY FOOD STORE,False,False,611,20,40.0,31.0,18,1154779.0,1910015.0,2022,2022-02-12 17:58:00,41.69581919,-87.64671186,"(41.69581919, -87.64671186)",FRIDAY,2022-02-04,17:58:00,2
10000406,UK802106,68XX E CICERO AVE,740,THEFT,THEFT OVER $500,RESIDENCE,False,False,412,11,39.0,69.0,06,1156018.0,1908673.0,2016,2016-09-06 20:20:00,41.97731771,-87.62072384,"(41.97731771, -87.62072384)",SUNDAY,2016-08-21,20:20:00,8
10000407,IS566338,62XX E ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,ALLEY,True,True,711,9,13.0,59.0,16,1156195.0,1919419.0,2018,2018-07-25 07:17:00,41.7285607,-87.51316833,"(41.7285607, -87.51316833)",TUESDAY,2018-07-10,07:17:00,7
10000408,QK188419,70XX N DIVISION ST,850,DECEPTIVE PRACTICE,FRAUD,"SCHOOL, PUBLIC, BUILDING",True,False,611,4,34.0,21.0,11,1174984.0,1855566.0,2015,2015-09-24 22:08:00,41.79712431,-87.77565238,"(41.79712431, -87.77565238)",SATURDAY,2015-09-19,22:08:00,9
10000409,BP250753,90XX W HALSTED ST,460,BATTERY,SIMPLE,ALLEY,False,False,811,5,33.0,41.0,26,1174984.0,1851881.0,2023,2023-08-01 10:09:00,41.80874263,-87.64692592,"(41.80874263, -87.64692592)",TUESDAY,2023-07-04,10:09:00,7
10000410,EB878257,86XX W PULASKI RD,750,THEFT,THEFT $500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,412,22,17.0,43.0,19,1151440.0,1898269.0,2019,2019-06-04 09:12:00,41.7257503,-87.71438548,"(41.7257503, -87.71438548)",FRIDAY,2019-05-10,09:12:00,5
10000411,UR901000,63XX W BROADWAY,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,ALLEY,True,False,812,1,14.0,56.0,05,1199211.0,1898145.0,2017,2017-11-09 10:01:00,41.80657152,-87.70179236,"(41.80657152, -87.70179236)",MONDAY,2017-10-30,10:01:00,10
10000412,EC748620,16XX N FULLERTON AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,RESIDENCE,False,False,1111,12,5.0,36.0,06,1157091.0,1886554.0,2022,2022-04-23 09:27:00,41.84061179,-87.76397704,"(41.70049783, -87.76397704)",WEDNESDAY,2022-03-30,09:27:00,3
10000413,ZB585777,31XX W MICHIGAN AVE,650,MOTOR VEHICLE THEFT,AUTOMOBILE,RETAIL STORE,False,False,621,2,43.0,9.0,06,1183562.0,1927055.0,2019,2019-09-05 09:00:00,41.75080959,-87.71981467,"(41.75080959, -87.71981467)",SATURDAY,2019-08-17,09:00:00,8
10000414,YC219645,87XX W CHICAGO AVE,312,ROBBERY,ARMED: HANDGUN,STREET,False,False,411,24,23.0,53.0,14,1157381.0,1903812.0,2021,2021-03-30 16:20:00,41.98505384,-87.56980601,"(41.98505384, -87.56980601)",SATURDAY,2021-03-06,16:20:00,3
10000415,RU438395,71XX S CICERO AVE,730,THEFT,SHOPLIFTING,"SCHOOL, PUBLIC, BUILDING",False,False,211,7,45.0,51.0,08A,1175978.0,1896037.0,2023,2024-01-11 17:52:00,41.98715118,-87.63680098,"(41.98715118, -87.63680098)",SATURDAY,2023-12-16,17:52:00,12
10000416,AA117029,82XX N PULASKI RD,750,THEFT,THEFT $500 AND UNDER,GROCERY FOOD STORE,True,True,1511,1,33.0,56.0,16,1170305.0,1916018.0,2022,2022-11-05 21:12:00,41.97503318,-87.72745,"(41.97503318, -87.72745)",THURSDAY,2022-10-13,21:12:00,10
10000417,ZJ970202,55XX E FULLERTON AVE,750,THEFT,THEFT $500 AND UNDER,SIDEWALK,False,True,1511,25,32.0,5.0,04A,1169187.0,1893121.0,2020,2020-05-15 18:37:00,41.90018945,-87.54164754,"(41.90018945, -87.54164754)",WEDNESDAY,2020-05-13,18:37:00,5
10000418,GD514806,73XX W STATE ST,320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT / GARAGE(NON.RESID.),False,False,2211,1,44.0,17.0,26,1175103.0,1887054.0,2020,2020-01-27 10:26:00,41.97066146,-87.66667101,"(41.97066146, -87.66667101)",THURSDAY,2020-01-23,10:26:00,1
10000419,MU478354,17XX N GRAND AVE,910,VANDALISM,CRIMINAL DAMAGE,ALLEY,False,False,2211,6,15.0,44.0,04B,1195582.0,1858123.0,2016,2017-01-03 19:02:00,41.82339992,-87.58976599,"(41.82339992, -87.58976599)",SATURDAY,2016-12-24,19:02:00,12
10000420,DB237335,9XX S DIVISION ST,1310,NARCOTICS,POSS: COCAINE,ALLEY,True,False,321,5,8.0,4.0,14,1177295.0,1894589.0,2020,2020-10-08 22:58:00,41.74895511,-87.60204141,"(41.74895511, -87.60204141)",TUESDAY,2020-09-08,22:58:00,9
10000421,MZ016469,66XX S HALSTED ST,1310,NARCOTICS,POSS: COCAINE,CTA TRAIN,True,False,511,17,31.0,62.0,04B,1190193.0,1861688.0,2020,2020-06-12 20:12:00,41.84061179,-87.63757915,"(41.88001897, -87.63757915)",THURSDAY,2020-05-21,20:12:00,5
10000422,UL000816,67XX E FULLERTON AVE,460,BATTERY,SIMPLE,PARK PROPERTY,False,False,1411,8,48.0,17.0,18,1187771.0,1862582.0,2019,2019-06-17 15:53:00,41.95662324,-87.60618771,"(41.95662324, -87.60618771)",MONDAY,2019-05-20,15:53:00,5
10000423,QY852932,67XX N CLARK ST,610,BURGLARY,FORCIBLE ENTRY,RETAIL STORE,False,False,2411,20,45.0,72.0,16,1184571.0,1928018.0,2020,2020-05-03 16:24:00,41.7311802,-87.69887742,"(41.7311802, -87.69887742)",WEDNESDAY,2020-04-08,16:24:00,4
10000424,PQ388337,82XX S PULASKI RD,486,BATTERY,DOMESTIC BATTERY AGGRAVATED,CTA BUS,False,True,1811,10,13.0,47.0,08B,1176005.0,1859376.0,2021,2021-12-12 21:08:00,41.75133935,-87.66119287,"(41.75133935, -87.66119287)",TUESDAY,2021-11-16,21:08:00,11
